time_s,t_rel_s,V_measured,V_estimated,error_V,rmse_V,Current(A),cycle,step,pulse_no
4020.805,0.0,3.45229,3.452290000000001,8.881784197001252e-16,0.021192140074903554,-74.995094,1,4,1
4021.806,1.0010000000002037,3.394845,3.4267695436208507,0.03192454362085062,0.021192140074903554,-74.996443,1,4,1
4022.805,2.0,3.374982,3.406379798063937,0.03139779806393683,0.021192140074903554,-74.997768,1,4,1
4023.805,3.0,3.361482,3.3899480397377895,0.028466039737789384,0.021192140074903554,-74.997973,1,4,1
4024.802,3.9970000000002983,3.350843,3.3766721796354227,0.02582917963542286,0.021192140074903554,-74.998242,1,4,1
4025.803,4.998000000000047,3.342519,3.3657928911907193,0.023273891190719542,0.021192140074903554,-74.998481,1,4,1
4026.805,6.0,3.335742,3.356835908358768,0.021093908358767788,0.021192140074903554,-74.998575,1,4,1
4027.803,6.998000000000047,3.330025,3.3494296149637575,0.01940461496375745,0.021192140074903554,-74.998716,1,4,1
4028.801,7.996000000000095,3.32507,3.3432180719832374,0.0181480719832372,0.021192140074903554,-74.998757,1,4,1
4029.804,8.999000000000251,3.320682,3.337929613532352,0.017247613532351824,0.021192140074903554,-74.998327,1,4,1
4030.784,9.97900000000027,3.31673,3.333498509668532,0.016768509668531717,0.021192140074903554,-74.998822,1,4,1
4031.783,10.978000000000065,3.313128,3.3295807031104725,0.016452703110472644,0.021192140074903554,-74.998775,1,4,1
4032.784,11.97900000000027,3.309803,3.326143215488959,0.016340215488959142,0.021192140074903554,-74.99877,1,4,1
4033.783,12.978000000000065,3.306701,3.3231063286612765,0.01640532866127664,0.021192140074903554,-74.998783,1,4,1
4034.783,13.978000000000065,3.303805,3.3203869551833716,0.016581955183371466,0.021192140074903554,-74.998837,1,4,1
4035.782,14.977000000000317,3.301052,3.3179329698503364,0.01688096985033649,0.021192140074903554,-74.99881,1,4,1
4036.776,15.971000000000004,3.298444,3.315706929296043,0.017262929296042895,0.021192140074903554,-74.998782,1,4,1
4037.78,16.975000000000364,3.295954,3.313640926585915,0.017686926585914975,0.021192140074903554,-74.998785,1,4,1
4038.779,17.97400000000016,3.293559,3.311738799051832,0.018179799051831758,0.021192140074903554,-74.99883,1,4,1
4039.777,18.972000000000207,3.291266,3.3099690467555183,0.018703046755518482,0.021192140074903554,-74.998864,1,4,1
4040.779,19.97400000000016,3.289063,3.308305357748443,0.019242357748443073,0.021192140074903554,-74.998873,1,4,1
4041.777,20.972000000000207,3.286935,3.306746617190134,0.019811617190133912,0.021192140074903554,-74.99889,1,4,1
4042.769,21.963999999999942,3.284876,3.305283011066596,0.020407011066595704,0.021192140074903554,-74.998826,1,4,1
4043.767,22.96199999999999,3.282867,3.3038874815723354,0.02102048157233538,0.021192140074903554,-74.998861,1,4,1
4044.768,23.963000000000193,3.28092,3.302557548567766,0.021637548567766007,0.021192140074903554,-74.998843,1,4,1
4045.768,24.963000000000193,3.279035,3.3012923515494976,0.022257351549497706,0.021192140074903554,-74.998878,1,4,1
4046.767,25.96199999999999,3.277194,3.30008639551624,0.022892395516239894,0.021192140074903554,-74.998917,1,4,1
4047.771,26.96600000000035,3.275397,3.2989282917531817,0.023531291753181804,0.021192140074903554,-74.998938,1,4,1
4048.77,27.965000000000146,3.273662,3.2978257772491957,0.024163777249195828,0.021192140074903554,-74.998873,1,4,1
4049.767,28.96199999999999,3.271949,3.2967717758338817,0.024822775833881483,0.021192140074903554,-74.998885,1,4,1
4050.77,29.965000000000146,3.270294,3.29575527129483,0.025461271294830112,0.021192140074903554,-74.999208,1,4,1
7703.492,0.0,3.353343,3.353343000000005,4.884981308350689e-15,0.01268251453683313,-74.995049,1,9,2
7704.493,1.0010000000002037,3.315414,3.3370178255845375,0.02160382558453744,0.01268251453683313,-74.998408,1,9,2
7705.494,2.001999999999498,3.308164,3.324814186795959,0.016650186795958977,0.01268251453683313,-74.99845,1,9,2
7706.493,3.0010000000002037,3.303043,3.315597751737366,0.012554751737365866,0.01268251453683313,-74.99872,1,9,2
7707.493,4.001000000000204,3.298648,3.3085141603197674,0.009866160319767392,0.01268251453683313,-74.998298,1,9,2
7708.492,5.0,3.294836,3.3029886491239333,0.008152649123933209,0.01268251453683313,-74.998822,1,9,2
7709.451,5.958999999999833,3.291452,3.2987493493593227,0.007297349359322691,0.01268251453683313,-74.998687,1,9,2
7710.45,6.957999999999629,3.288381,3.2951474598306696,0.006766459830669369,0.01268251453683313,-74.998747,1,9,2
7711.452,7.960000000000036,3.285532,3.2921509983264463,0.0066189983264464125,0.01268251453683313,-74.998748,1,9,2
7712.451,8.958999999999833,3.282873,3.289618630505906,0.006745630505906153,0.01268251453683313,-74.99883,1,9,2
7713.453,9.96100000000024,3.280372,3.287420023570648,0.007048023570648265,0.01268251453683313,-74.998801,1,9,2
