time_s,t_rel_s,V_measured,V_estimated,error_V,rmse_V,Current(A),cycle,step,pulse_no
3998.571,0.0,3.495761,3.495761000000006,6.217248937900877e-15,0.025544054434369013,-74.995083,1,4,1
3999.575,1.0039999999999054,3.418297,3.4681826594547136,0.04988565945471368,0.025544054434369013,-74.996322,1,4,1
4000.573,2.0019999999999527,3.39605,3.4453438289066405,0.04929382890664069,0.025544054434369013,-74.99744,1,4,1
4001.571,3.0,3.380925,3.4262539875230433,0.045328987523043374,0.025544054434369013,-74.997872,1,4,1
4002.564,3.992999999999938,3.369146,3.41032260651387,0.041176606513869896,0.025544054434369013,-74.998226,1,4,1
4003.564,4.992999999999938,3.360101,3.3968222189727855,0.036721218972785685,0.025544054434369013,-74.998444,1,4,1
4004.564,5.992999999999938,3.352896,3.385425980593507,0.03252998059350709,0.025544054434369013,-74.998595,1,4,1
4005.563,6.992000000000189,3.346916,3.3757744843797948,0.02885848437979499,0.025544054434369013,-74.998671,1,4,1
4006.563,7.992000000000189,3.341807,3.3675466382835184,0.025739638283518218,0.025544054434369013,-74.998771,1,4,1
4007.565,8.994000000000142,3.33733,3.360492136085721,0.02316213608572104,0.025544054434369013,-74.99881,1,4,1
4008.56,9.989000000000033,3.333345,3.354463695694886,0.021118695694886114,0.025544054434369013,-74.998842,1,4,1
4009.56,10.989000000000033,3.329725,3.349219367740496,0.019494367740496177,0.025544054434369013,-74.998881,1,4,1
4010.561,11.990000000000236,3.326412,3.3446503836891615,0.01823838368916153,0.025544054434369013,-74.998903,1,4,1
4011.559,12.988000000000284,3.323342,3.340660625906942,0.01731862590694222,0.025544054434369013,-74.998783,1,4,1
4012.56,13.989000000000033,3.32045,3.337133432425135,0.016683432425134814,0.025544054434369013,-74.998797,1,4,1
4013.558,14.98700000000008,3.317734,3.334013984318028,0.016279984318027907,0.025544054434369013,-74.998835,1,4,1
4014.55,15.97900000000027,3.315161,3.331244487508192,0.016083487508192107,0.025544054434369013,-74.998814,1,4,1
4015.55,16.97900000000027,3.312704,3.328735432772975,0.016031432772974696,0.025544054434369013,-74.998794,1,4,1
4016.548,17.97699999999986,3.310357,3.3264719418289204,0.01611494182892015,0.025544054434369013,-74.998868,1,4,1
4017.546,18.97499999999991,3.308105,3.3244135593135073,0.016308559313507498,0.025544054434369013,-74.998835,1,4,1
4018.547,19.976000000000113,3.305922,3.3225257410704527,0.016603741070452926,0.025544054434369013,-74.99882,1,4,1
4019.549,20.978000000000065,3.303822,3.3207889275378135,0.016966927537813703,0.025544054434369013,-74.998882,1,4,1
4020.536,21.965000000000146,3.301792,3.319207898016947,0.017415898016947207,0.025544054434369013,-74.998896,1,4,1
4021.535,22.963999999999942,3.299825,3.317722173336415,0.01789717333641505,0.025544054434369013,-74.998883,1,4,1
4022.536,23.965000000000146,3.297898,3.31633501617768,0.01843701617768012,0.025544054434369013,-74.998888,1,4,1
4023.536,24.965000000000146,3.296039,3.3150389359246066,0.018999935924606692,0.025544054434369013,-74.998843,1,4,1
4024.534,25.963000000000193,3.294221,3.3138249441457446,0.019603944145744734,0.025544054434369013,-74.998885,1,4,1
4025.534,26.963000000000193,3.292455,3.3126798242610818,0.020224824261081853,0.025544054434369013,-74.998882,1,4,1
