time_s,t_rel_s,V_measured,V_estimated,error_V,rmse_V,Current(A),cycle,step,pulse_no
4021.631,0.0,3.485215,3.485215000000006,5.773159728050814e-15,0.024844733926826817,-74.995076,1,4,1
4022.632,1.0010000000002037,3.413432,3.462603593577764,0.04917159357776413,0.024844733926826817,-74.996327,1,4,1
4023.633,2.0019999999999527,3.393478,3.4431773971872155,0.0496993971872155,0.024844733926826817,-74.997599,1,4,1
4024.631,3.0,3.380162,3.4265049634375915,0.04634296343759159,0.024844733926826817,-74.997965,1,4,1
4025.634,4.003000000000156,3.369685,3.4120553093403743,0.042370309340374224,0.024844733926826817,-74.998278,1,4,1
4026.631,5.0,3.361604,3.399642512504427,0.038038512504427135,0.024844733926826817,-74.998501,1,4,1
4027.625,5.994000000000142,3.355038,3.388916318463161,0.03387831846316125,0.024844733926826817,-74.998451,1,4,1
4028.624,6.992999999999938,3.349528,3.3795512336741926,0.030023233674192795,0.024844733926826817,-74.998536,1,4,1
4029.623,7.992000000000189,3.344744,3.371396966279368,0.026652966279367973,0.024844733926826817,-74.998571,1,4,1
4030.625,8.994000000000142,3.34053,3.3642569132628335,0.02372691326283327,0.024844733926826817,-74.998633,1,4,1
4031.625,9.994000000000142,3.336731,3.3580177635771746,0.02128676357717474,0.024844733926826817,-74.998687,1,4,1
4032.624,10.992999999999938,3.333257,3.352541875705759,0.019284875705758875,0.024844733926826817,-74.998686,1,4,1
4033.609,11.978000000000065,3.330043,3.3477782143199746,0.017735214319974713,0.024844733926826817,-74.998725,1,4,1
4034.608,12.977000000000317,3.327052,3.343500596050304,0.0164485960503038,0.024844733926826817,-74.998749,1,4,1
4035.607,13.976000000000113,3.324235,3.3397028948890384,0.015467894889038547,0.024844733926826817,-74.998776,1,4,1
4036.606,14.975000000000364,3.321581,3.336318649681786,0.014737649681785925,0.024844733926826817,-74.998785,1,4,1
4037.606,15.975000000000364,3.319047,3.33328843952032,0.01424143952032031,0.024844733926826817,-74.998781,1,4,1
4038.606,16.975000000000364,3.316639,3.3305675545721667,0.013928554572166796,0.024844733926826817,-74.998776,1,4,1
4039.57,17.939000000000306,3.314328,3.3281989079731233,0.013870907973123181,0.024844733926826817,-74.998819,1,4,1
4040.57,18.939000000000306,3.312112,3.325971455017786,0.013859455017786182,0.024844733926826817,-74.998852,1,4,1
4041.571,19.940000000000055,3.309976,3.323946222606843,0.013970222606843219,0.024844733926826817,-74.998828,1,4,1
4042.572,20.94100000000026,3.307894,3.3220997476313627,0.01420574763136262,0.024844733926826817,-74.998904,1,4,1
4043.57,21.939000000000306,3.305896,3.3204148143965675,0.014518814396567326,0.024844733926826817,-74.998856,1,4,1
4044.569,22.938000000000102,3.303943,3.3188654176821695,0.01492241768216962,0.024844733926826817,-74.998841,1,4,1
4045.597,23.96600000000035,3.302066,3.3173974126923507,0.015331412692350721,0.024844733926826817,-74.99889,1,4,1
