time_s,dv_dt,d2v_dt2
11409.354,-9.980039921550611e-07,1.499253370194601e-06
11410.356,5.042478847805398e-07,2.251882313446917e-06
11411.355,3.503503503532457e-06,-4.913894989944136e-07
11412.354,-4.775483342100983e-07,-0.3939452721345389
11413.357,-0.7918327709773934,-0.06702634243080396
11413.384,-0.793117400487509,-0.02602655528177625
11414.378,-0.030303960846441713,0.3975610480259151
11415.376,-0.00414060144442896,0.013566328037726921
11416.377,-0.0032608819500346,0.0006352095374199018
11417.38,-0.0028686170294556224,0.0003529218089358874
11418.378,-0.0025543046633786926,0.00027241606838310966
11419.378,-0.0023245000000000626,0.00021140233168936984
11420.378,-0.002131499999999953,0.00017028353553649733
11421.378,-0.001983932928927068,0.00013230516921784578
11422.377,-0.0018669914581916913,0.00011752476037927174
11423.377,-0.0017490000000000006,0.00010974572909583369
11424.377,-0.001647500000000024,8.246419836555052e-05
11425.377,-0.0015840716032688995,7.097252384235836e-05
11426.349,-0.0015079587395054883,8.60695627304842e-05
11427.345,-0.0014143094237670795,8.724906357931203e-05
11428.346,-0.0013337902931651602,6.960908314262916e-05
11429.346,-0.001274999999999915,5.239514658261779e-05
11430.346,-0.0012289999999999246,5.1573416426364815e-05
11431.346,-0.0011718531671471855,5.866825149485771e-05
11432.34,-0.0011120337087717758,5.4133858266273743e-05
11433.34,-0.0010639830329590705,4.478947731616646e-05
11434.341,-0.0010224164903203103,4.654232330739475e-05
11435.338,-0.0009710315292397187,4.4546076350498315e-05
11436.338,-0.0009335000000001425,3.9345260020695605e-05
11437.338,-0.0008923410091983275,3.9943669062900914e-05
11438.33,-0.0008539128438596055,3.644071612724344e-05
11439.329,-0.0008198198198199336,3.459862816533756e-05
11440.328,-0.0007847847847852751,3.649623761984937e-05
11441.327,-0.0007469003370554894,3.5513251066658495e-05
11442.327,-0.00071379861655263,1.966498870654374e-05
11443.329,-0.0007075848303391041,6.201383446630059e-06
