time_s,dv_dt,d2v_dt2
18789.53,8.43881856517221e-06,-4.854410073531328e-06
18790.478,3.836837815462957e-06,-5.5845384614099675e-06
18791.475,-2.4965105207552796e-06,-1.684312544868417e-06
18792.476,5.090010091191033e-07,-0.7110018618723468
18793.475,-1.4191650419753898,-0.0795240071419343
18793.51,-1.4203039366705894,0.015843231926426192
18794.512,-0.016520269284899358,0.7068698941885921
18795.513,-0.0030560077169048405,0.007148479636197643
18796.55,-0.002413595288512038,0.00042278402859743675
18797.55,-0.0021805000000001407,0.00023517968661890265
18798.55,-0.001943235915274233,0.00020999747616000603
18799.548,-0.0017608160852646826,0.00016232217075830865
18800.55,-0.0016187556076658893,0.00013035170398428223
18801.55,-0.0014998063186186794,0.00010960985997088952
18802.551,-0.0013994449660617025,9.204377771571104e-05
18803.553,-0.0013154590746906614,7.90052610431933e-05
18804.55,-0.0012414654393828606,7.112209376954688e-05
18805.55,-0.001173446846506776,6.798315809920905e-05
18806.551,-0.001105431210931318,0.00010951641926839343
18807.55,-0.0009545801167867296,0.00010377141059101459
18808.806,-0.0008988259146913702,-4.405771981420381e-06
18809.805,-0.0009419999854782812,4.328604649015864e-06
18810.805,-0.0008900778946190346,4.795203595440447e-05
18811.806,-0.0008460559056133743,4.37668528303873e-05
18812.806,-0.0008025000000000393,4.094348735350639e-05
18813.806,-0.0007641689309063615,3.696884737682644e-05
18814.811,-0.0007283911172821789,3.3817356955471805e-05
18815.813,-0.0006962868167135206,2.933315257885573e-05
18816.81,-0.000669727142143195,3.1867362082517816e-05
18817.811,-0.0006325739212267312,3.597830434309471e-05
18818.813,-0.0005976648752816782,2.32713610297508e-05
18819.812,-0.0005859386236735098,1.6950581938824066e-05
18820.774,-0.0005648033727507773,2.678276212704912e-05
18821.775,-0.0005329810659810974,3.287936286861242e-05
18822.774,-0.0004990489980489787,2.9237262737216388e-05
18823.775,-0.00047452547452560295,2.449902449887192e-05
