time_s,dv_dt,d2v_dt2
29797.329,-1.9980019978372223e-06,4.514046640296844e-06
29798.33,2.520558689100838e-06,3.2546380920406964e-06
29799.327,4.514820048040491e-06,-3.239628022184575e-06
29800.329,-4.007988020360287e-06,-0.6731093599423843
29801.329,-1.3448707073971065,-0.05372071992589156
29801.361,-1.345267636951766,0.029382890985334396
29802.362,-0.007400511956088929,0.737924832194622
29803.589,-0.002284759404599379,0.0019853227013916586
29804.585,-0.0020731137455645143,0.0002225345351622145
29805.585,-0.0018404999999999117,0.00021342329672568994
29806.585,-0.0016462671521131345,0.00016961032794449713
29807.588,-0.0015009184698493439,0.00013651724529367638
29808.586,-0.0013730123866184663,0.00011037103764783944
29809.602,-0.0012792774653169747,8.319676863627952e-05
29810.602,-0.0012049999999999006,7.367559300408555e-05
29811.602,-0.0011319262793088036,6.550734477070127e-05
29812.604,-0.0010738845915381212,5.617872495161105e-05
29813.602,-0.0010195548804143861,4.550998806049974e-05
29814.601,-0.0009830190115283077,4.186115176154406e-05
29815.576,-0.0009371717755912723,5.227011851651522e-05
29816.577,-0.0008794567589567315,5.149650797538609e-05
29817.576,-0.000834154140854082,4.299776791075096e-05
29818.578,-0.0007934323477292171,4.060322293607114e-05
29819.576,-0.0007529473972640588,3.823508660970738e-05
29820.577,-0.0007170144165935532,2.872077258085225e-05
29821.599,-0.0006951498409868417,2.421032227666693e-05
29822.599,-0.0006681837333080143,2.866826240848603e-05
29823.6,-0.0006377812418958406,2.637660040698996e-05
29824.598,-0.0006154329719048057,2.451966856937865e-05
29825.597,-0.0005888112084069252,2.5342880396426906e-05
29826.597,-0.0005647751663622191,2.2643762729920597e-05
29827.596,-0.0005435435435434677,2.4026034045164816e-05
29828.595,-0.0005167711503399897,2.628542850700849e-05
29829.595,-0.0004910000000000192,2.1501899625242515e-05
29830.595,-0.00047376735108950463,1.0735897286194562e-05
29831.596,-0.00046953046953034447,4.23264891024905e-06
