time_s,dv_dt,d2v_dt2
29773.066,1.2000000000345068e-05,-1.0490259366280341e-05
29774.066,1.5097406340647268e-06,-1.1293415724887673e-05
29775.067,-1.0599731981031368e-05,-3.969307111696589e-06
29776.052,-6.631322763128722e-06,-0.6772827867872961
29777.051,-1.362838449317067,-0.06489093332655926
29777.077,-1.3636464041395677,0.0037924842598922926
29778.078,-0.016102437255697932,0.6801618564201614
29779.08,-0.0026149429257711354,0.006964643197025249
29780.078,-0.002121287149169593,0.00034505930527103956
29781.077,-0.0019261588145536024,0.00019787317077644875
29782.054,-0.0017304007070664262,0.00018329696696208636
29783.056,-0.0015642785151139815,0.00014247951475469247
29784.054,-0.0014452555610222628,0.00011006760864110793
29785.056,-0.0013442169961757067,9.84995611998746e-05
29786.055,-0.0012481439360760849,8.275890325163207e-05
29787.079,-0.0011774746410451176,6.042370638981891e-05
29788.081,-0.0011253516385161255,6.17312664199746e-05
29789.078,-0.0010541707201667805,5.654190560078025e-05
29790.079,-0.001012499975076242,4.5819851153114735e-05
29791.082,-0.0009623309587691864,4.841172083330363e-05
29792.08,-0.0009156120893636377,4.579533550763763e-05
29793.064,-0.0008715363231068807,4.193759441542235e-05
29794.064,-0.0008325000000000138,4.154855850546646e-05
29795.064,-0.0007884392060959478,4.2128718459520664e-05
29796.067,-0.0007481277867669167,3.244624772206356e-05
29797.065,-0.0007234370114492794,3.251635043496307e-05
29798.066,-0.0006830808755546869,3.226331810267586e-05
29799.057,-0.0006590082361950245,2.1159472984703357e-05
29800.054,-0.0006410535384819838,2.6281375028167824e-05
29801.057,-0.000606345915613371,3.609119346029946e-05
29802.054,-0.0005688889467601044,2.7265746889077228e-05
29803.054,-0.0005519581356763226,1.9078061794524748e-05
29804.056,-0.0005306860694556104,1.8446637018670973e-05
29805.055,-0.0005150297421787631,1.8322794529239904e-05
29806.021,-0.0004948538410867176,2.1139567009058834e-05
29807.02,-0.0004734734734735157,2.1401769382588862e-05
