time_s,dv_dt,d2v_dt2
33514.331,0.0,1.0030070149991133e-06
33515.331,1.0030070149991133e-06,-1.002003004143792e-06
33516.329,-1.9939899822407625e-06,-5.129895376090064e-07
33517.329,-1.197604726499435e-08,-0.7448566872888369
33518.331,-1.4941874960550336,-0.008918314439355868
33518.363,-1.4929580501393949,0.08724370824082049
33519.318,-0.018131749131798047,0.7977169327773889
33520.319,-0.002965534465530162,0.007871661449246477
33521.32,-0.0023726829102974634,0.0004328447598267132
33522.32,-0.0020990934313025456,0.000254988063356944
33523.321,-0.0018624890169520736,0.000202523809609586
33524.318,-0.0016941806467754006,0.00015430841915635722
33525.322,-0.0015539216727096239,0.00012753610699222967
33526.323,-0.0014383978768983674,0.00010570958742159775
33527.322,-0.0013424637414229945,9.133690398463738e-05
33528.324,-0.0012556609338763014,8.366648794782747e-05
33529.324,-0.001174951592137985,6.574351953150131e-05
33530.325,-0.001124138097904126,5.473909240655023e-05
33531.301,-0.0010669287417526263,6.562876600993384e-05
33532.302,-0.0009940349057164788,5.965577787120775e-05
33533.304,-0.0009474645623028799,4.8591928037346904e-05
33534.303,-0.0008968151259574064,4.8973642453318145e-05
33535.301,-0.0008496607470636075,4.676647775224657e-05
33536.304,-0.0008032402400484084,4.2891371792949434e-05
33537.316,-0.0007632959319172627,3.437494308920606e-05
33538.316,-0.0007339562824242307,3.188867929553469e-05
33539.319,-0.0006994075901680663,3.4264017955009e-05
33540.316,-0.0006654260769640707,3.405200256432171e-05
33541.318,-0.0006313379554578891,3.19642926780831e-05
33542.318,-0.0006014253480746135,2.7383872873982694e-05
33543.327,-0.0005763694769027605,2.533867054232248e-05
33544.325,-0.000550581713978815,2.6460193683721744e-05
33545.325,-0.0005234995244272067,2.4171335863876068e-05
33546.327,-0.0005022023546374932,1.8370896239023075e-05
33547.324,-0.00048674733715325935,1.063175623031921e-05
33548.324,-0.00048100000000017573,5.74733715308362e-06
