time_s,dv_dt,d2v_dt2
18730.942,6.0120240480490375e-06,2.989488714575686e-06
18731.94,8.995533785194354e-06,-2.566385966537515e-07
18732.941,5.479497455773696e-06,-4.010998540316134e-06
18733.938,9.855385318946475e-07,-0.5901284917109961
18734.942,-1.189132371281758,-0.056744139380697334
18734.969,-1.1898456801352328,0.004957813533974743
18735.972,-0.015791426320807878,0.5914854610670169
18736.974,-0.0027597936884200536,0.006776291305950615
18737.973,-0.002194747389246521,0.0004029497668728288
18738.974,-0.0019545454545488727,0.0002195896855914874
18739.975,-0.0017551288386932207,0.0001774236108024801
18740.973,-0.0015997450897764498,0.0001401713106277334
18741.973,-0.0014751287175924777,0.00017350462604886672
18742.975,-0.0012521930798590208,0.00015809027632204662
18744.251,-0.001155115748817881,3.6410968196416878e-06
18745.252,-0.0012083544476511054,6.066396618741748e-06
18746.252,-0.0011430953338109617,6.165918703750152e-05
18747.25,-0.001085145006642696,6.034945987047093e-05
18748.251,-0.0010224430449430333,5.342108026709408e-05
18749.25,-0.000978266009976192,4.3768599231491106e-05
18750.241,-0.0009353363189594788,4.590295147507967e-05
18751.239,-0.0008869287443757923,4.447070602516456e-05
18752.239,-0.0008464999999999723,4.221437218787649e-05
18753.239,-0.0008025000000000393,3.931309210647438e-05
18754.239,-0.0007678738157870235,3.41172641126429e-05
18755.238,-0.0007342985717075923,3.681319332781834e-05
18756.247,-0.0006938885160221453,3.202064929270034e-05
18757.245,-0.0006698574542978175,2.3340267111484898e-05
18758.246,-0.000647235762448517,3.059325154979232e-05
18759.249,-0.0006085165696121386,3.096303752086918e-05
18760.249,-0.0005851710247806174,2.1282208140451777e-05
18761.245,-0.0005660208084836693,2.4684722510639556e-05
18762.259,-0.0005353564836534375,2.6778787775339136e-05
18763.258,-0.0005120120120114535,2.1312644259098275e-05
18764.257,-0.0004927738204236753,1.3004319345646958e-05
18765.259,-0.0004860279441134694,6.732411487253178e-06
