time_s,dv_dt,d2v_dt2
11390.66,-1.0010010010077628e-05,6.595153875444403e-06
11391.659,-3.4214512885100135e-06,5.818640194064699e-06
11392.641,1.5428930424388199e-06,2.0386089891241138e-06
11393.643,5.012508759172363e-07,-0.47479779639631775
11394.642,-0.9472243317960363,-0.06607346998820418
11394.684,-0.9484418363727636,0.009621926072124164
11395.686,-0.01583101781850127,0.47097340717680236
11396.686,-0.003715806986075876,0.006406292188114849
11397.685,-0.003013427606088692,0.00052077678640382
11398.666,-0.002678165070824079,0.00032387627890477066
11399.665,-0.0023728021453146564,0.0002520145744194836
11400.665,-0.002174495298306045,0.00017712503390065483
11401.666,-0.0020184173372876923,0.00014310685736676325
11402.666,-0.0018881128591545782,0.00011346190817931932
11403.667,-0.0017914137610033354,9.516210491121609e-05
11404.659,-0.0016984289735881841,9.34573667600566e-05
11405.66,-0.0016051582430562927,8.266264581620873e-05
11406.66,-0.0015330000000000066,7.12320916567144e-05
11407.66,-0.001462694059742864,7.838999953914947e-05
11408.659,-0.0013763145509557706,7.097562324091626e-05
11409.691,-0.0013195818180196106,4.423379850997187e-05
11410.695,-0.0012856612684166713,4.4925257474328554e-05
11411.692,-0.0012298417920286742,5.316742483890734e-05
11412.693,-0.0011794553589554724,4.61428804397002e-05
11413.692,-0.0011375392750392344,3.9984297097384524e-05
11414.693,-0.0010994946676430306,2.72128202377823e-05
11415.691,-0.001083076181747522,3.344443048814013e-05
11416.645,-0.0010356735625520752,5.650622856188324e-05
11417.646,-0.0009719498306990371,4.779827896040387e-05
11418.644,-0.0009400297747668152,3.425182415205065e-05
11419.645,-0.0009034668069669571,3.4205202470836363e-05
11420.644,-0.0008716100941452698,4.040911117765908e-05
11421.646,-0.0008225569756805662,3.8528459828305554e-05
11422.67,-0.0007940152479279927,2.121872724218806e-05
11423.669,-0.0007793028490934439,1.7616512509938543e-05
11424.672,-0.0007587238285142273,2.0517468174680088e-05
