time_s,dv_dt,d2v_dt2
29787.122,-5.994005993955313e-06,-1.4970044939851935e-06
29788.123,-7.492507492434797e-06,-2.2488763102996934e-06
29789.124,-1.0496256367176215e-05,4.014033809147322e-06
29790.124,5.255516035695962e-07,-0.7068079938573363
29791.122,-1.4093884191958637,-0.12295560093147628
29791.149,-1.4117664680015352,-0.05234846661923994
29792.197,-0.013310517533415611,0.6570185811615257
29793.197,-0.002652577335707118,0.005591847153538091
29794.198,-0.0021313686313682023,0.0003748558366677028
29795.199,-0.0019021159506982244,0.00021656379193481202
29796.197,-0.0016983829641268322,0.000173771987289595
29797.197,-0.001555041118941558,0.00012979454939711095
29798.188,-0.0014397192622841448,0.00011362476428199478
29799.187,-0.0013289719258977595,9.722048067558199e-05
29800.189,-0.0012452630295978206,7.706320806228609e-05
29801.188,-0.0011747296331288126,6.739241417839709e-05
29802.186,-0.0011106739585255987,6.042648427569098e-05
29803.186,-0.0010540125628397679,5.341939284158031e-05
29804.18,-0.0010041169018775165,5.170357422084487e-05
29805.178,-0.0009510069648810404,4.951752383120211e-05
29806.178,-0.0009051956994714505,4.621963104118801e-05
29807.181,-0.0008584265900364318,4.26368698875353e-05
29808.179,-0.0008198394988179203,3.577270252647758e-05
29809.179,-0.0007869643088487255,3.584783603987506e-05
29810.171,-0.0007484779815143394,3.0670529696881195e-05
29811.17,-0.0007260134520132855,2.718281668154975e-05
29812.171,-0.0006940935461485775,3.460759733778224e-05
29813.168,-0.0006568891856983949,3.0078952270084244e-05
29814.17,-0.0006340382756100382,2.5604302955175467e-05
29815.171,-0.0006056093620927516,2.7636808583340845e-05
29816.173,-0.0005786832761893734,2.174742456905837e-05
29817.172,-0.0005620620620623296,1.7847943026189832e-05
29818.171,-0.0005430230860230534,2.128854605362669e-05
29819.172,-0.0005194760389761743,2.6114328932729078e-05
29820.171,-0.000490804781026366,2.2718682811066743e-05
29821.173,-0.00047405189620717365,1.671944592733092e-05
