time_s,dv_dt,d2v_dt2
11360.648,-1.9980019978372223e-06,-5.968125561527217e-06
11361.649,-7.972095684927183e-06,-2.4872979635047484e-06
11362.652,-6.968609896906841e-06,6.25256222084634e-06
11363.652,4.520321103429481e-06,-0.3287999964622047
11364.649,-0.6546506519353272,-0.0603926150435683
11364.686,-0.656066480397164,-0.013859918048425974
11365.675,-0.024591685475746194,0.3311816597005611
11366.674,-0.003854746708244594,0.01078097708018106
11367.675,-0.003069678139678844,0.0005547499999998574
11368.674,-0.0027443294883291447,0.00030244090024410643
11369.675,-0.002464889365918932,0.00023050311821266227
11370.673,-0.0022832622454460605,0.00017541217656876157
11371.655,-0.0021173644182572726,0.0001592087818280284
11372.655,-0.0019680639280756917,0.00012663559053421077
11373.656,-0.0018640119540624944,0.00010172061742505685
11374.656,-0.0017645165200161905,8.934889745794569e-05
11375.653,-0.0016855214179383182,7.422520601081293e-05
11376.655,-0.0016161905347118477,6.984507304075283e-05
11377.65,-0.0015460499112109893,6.996386658902551e-05
11378.65,-0.0014766179263874246,6.602305190825635e-05
11379.647,-0.0014141814536330344,5.806319676779966e-05
11380.65,-0.0013605464313355409,4.635529041707351e-05
11381.649,-0.001321321321321678,4.75309811090685e-05
11382.648,-0.0012655795310796414,5.17272238868792e-05
11383.649,-0.0012178831713014482,4.3102078279463906e-05
11384.649,-0.0011793231837189389,4.393864281931404e-05
11385.652,-0.0011298417493950108,4.6314761139032976e-05
11386.65,-0.001086617235191989,3.69753742668396e-05
11387.651,-0.0010559660479450006,2.8075589071938707e-05
11388.651,-0.0010304328940462515,3.376370373004084e-05
11389.635,-0.000989240130318425,3.788777300814774e-05
11390.634,-0.0009554215927938259,3.490700936931065e-05
11391.632,-0.0009195329407911679,3.599031869712041e-05
11392.633,-0.000883476766976754,3.403943340483164e-05
11393.632,-0.0008514461590154454,2.6257320404489198e-05
11394.632,-0.0008309999999998041,2.0446159015641285e-05
