time_s,dv_dt,d2v_dt2
22431.463,1.0989010989213838e-05,-7.001012012807274e-06
22432.464,3.98099796439233e-06,-5.99850575154785e-06
22433.462,-1.008008032155061e-06,-3.256881210864148e-06
22434.464,-2.5187995451592116e-06,-0.8739951915236718
22435.461,-1.7383992652540599,-0.017729306830780445
22435.492,-1.737285294740889,0.09005998714944485
22436.462,-0.007132265006008831,0.9076226367253225
22437.462,-0.0026439380991800654,0.0024912889964902474
22438.461,-0.002148186223241755,0.0003650328469639684
22439.461,-0.0019145000000000412,0.0002195931116207861
22440.461,-0.0017090000000001826,0.00017466124887033363
22441.461,-0.001565177502259374,0.0001322037091769109
22442.449,-0.0014459018483363728,0.00011565291940331525
22443.449,-0.0013353819518808763,9.790555159503854e-05
22444.45,-0.0012500180808987515,7.880932745092737e-05
22445.448,-0.0011778033488820672,6.684020624401165e-05
22446.447,-0.0011165492330491578,6.553398085715537e-05
22447.448,-0.0010467184960782916,6.370452080108654e-05
22448.461,-0.0009883945543387451,4.866593244951987e-05
22449.46,-0.0009485548970549207,4.463730256252369e-05
22450.461,-0.0008991008991006133,4.8254342210420445e-05
22451.462,-0.0008519497039496393,4.4778493484374496e-05
22452.461,-0.0008095346190346575,3.61697658796047e-05
22453.462,-0.000779635348473029,3.2673259305180617e-05
22454.446,-0.0007447727209852761,3.7161014225630025e-05
22455.449,-0.0007057299804056338,3.2573884898085025e-05
22456.448,-0.0006795090881261956,2.9667406319018347e-05
22457.446,-0.0006464910070966834,3.091154384429393e-05
22458.45,-0.0006176503281922763,3.0197366540736818e-05
22459.447,-0.0005860866070983572,2.9520437198945343e-05
22460.454,-0.0005585343517147123,2.5691740133688057e-05
22461.454,-0.0005345000000001043,2.464311126637586e-05
22462.454,-0.0005092481291819606,1.9625250468276276e-05
22463.455,-0.0004952411326804018,1.711862934089829e-05
22464.455,-0.0004750000000000032,1.46205663402732e-05
22465.455,-0.0004659999999998554,9.000000000147779e-06
