time_s,dv_dt,d2v_dt2
15060.163,7.063572149435288e-06,9.675887759813104e-07
15061.154,8.022452626432752e-06,-2.759485917208488e-06
15062.155,1.4917586161899976e-06,-5.7575813168565554e-06
15063.155,-3.499999999823089e-06,-0.7093809430328295
15064.155,-1.4187603943070428,-0.07959861978005023
15064.186,-1.4199410204184073,0.004982211314200297
15065.188,-0.020130633306519652,0.7055519197137773
15066.186,-0.003316506860478796,0.008714529524785224
15067.172,-0.0026469812490028666,0.000495284588167303
15068.175,-0.002337687085684381,0.00027857533540091026
15069.172,-0.0020894741229180447,0.0002205646543985111
15070.172,-0.0018973900983032532,0.00017000614161577336
15071.175,-0.0017490844872607436,0.00013033582260268788
15072.172,-0.0016365087677256973,0.00010852648757659245
15073.165,-0.0015330817435992294,0.00010403201220099976
15074.166,-0.0014290709290716297,8.89825342960353e-05
15075.167,-0.0013549387099387467,7.013322811800821e-05
15076.166,-0.001288788788788242,6.946622157829978e-05
15077.165,-0.0012161451992251937,6.800681323189525e-05
15078.165,-0.0011528525928370392,6.049561187565131e-05
15079.158,-0.001095538423886655,5.787896764769974e-05
15080.159,-0.001037439348644531,5.0479251186580734e-05
15081.157,-0.0009945850980546123,4.1777030528274736e-05
15082.16,-0.0009538551706964604,4.736316142904247e-05
15083.157,-0.0008999395934423671,4.653012283343871e-05
15084.157,-0.0008609798696588289,3.758871581551051e-05
15085.144,-0.0008252154006100909,4.0262287847620145e-05
15086.144,-0.0007808733185410421,4.225637345544144e-05
15087.143,-0.0007407407407411526,3.6291180136010094e-05
15088.142,-0.0007083635406293087,3.104676294289914e-05
15089.142,-0.0006786809886760725,2.550035310228989e-05
15090.143,-0.0006573457026515239,2.0982486366254735e-05
15091.115,-0.0006372635954066119,3.04640744880575e-05
15092.114,-0.0005967642718351929,3.7149158614950106e-05
15093.116,-0.000562948503793903,2.329028727711494e-05
15094.114,-0.0005501002004009367,1.2874051495963503e-05
