time_s,dv_dt,d2v_dt2
7680.27,-2.988047808740565e-06,-3.997980135306735e-06
7681.274,-7.002019864588149e-06,-2.3183084851471602e-07
7682.274,-3.482706005142333e-06,2.769404333305914e-06
7683.271,-1.4670267030059136e-06,-0.7451424525800419
7684.274,-1.4992570274786488,-0.06619213687393
7684.304,-1.4999609160127358,0.020322254083968223
7685.305,-0.01719102579347309,0.7632803703167363
7686.354,-0.005817585394395808,0.005911546340900372
7687.352,-0.004599391936894293,0.0009340400688097866
7688.353,-0.003952161449315428,0.0005666136832202888
7689.356,-0.0034642183161639473,0.00041933728128207585
7690.355,-0.003112112112111376,0.00028554016342231293
7691.354,-0.0028937090696461443,0.00020813024451496335
7692.327,-0.002701140815406733,0.00019880713190329998
7693.328,-0.002501212935516417,0.0001712200081802164
7694.325,-0.0023588156295888396,0.00012856644112333934
7695.329,-0.0022441518184290743,0.0001045904515442717
7696.325,-0.002149481474999382,0.00010266309637459343
7697.326,-0.0020390572983832733,9.614683584082827e-05
7698.342,-0.001955981502312465,6.716585401153347e-05
7699.342,-0.001903187362677139,5.830057585275953e-05
7700.338,-0.0018396575162971107,6.307559146097601e-05
7701.341,-0.0017771092217746531,6.149248572581071e-05
7702.34,-0.001716542623930728,4.181742829497087e-05
7703.338,-0.0016935622167046915,3.398679243082903e-05
7704.306,-0.0016503723258816105,5.999934269815439e-05
7705.305,-0.0015745745745745499,6.619241209534121e-05
7706.304,-0.001518119886515068,5.090406593220463e-05
7707.307,-0.00147270958144885,3.8164009820653875e-05
7708.305,-0.0014416827753760408,3.5703028210205216e-05
7709.304,-0.0014014014014014364,4.268563950264809e-05
7710.303,-0.0013563968676497673,4.335809839356214e-05
7711.305,-0.0013146520106641635,3.6775752582806796e-05
7712.305,-0.0012827522873577468,3.22164446406875e-05
7713.303,-0.0012502848198905347,2.491630769920286e-05
7714.303,-0.0012330000000000396,1.728481989049513e-05
