time_s,dv_dt,d2v_dt2
18744.454,2.0060180539986888e-06,4.907694926953646e-07
18745.451,2.4953152382156674e-06,-7.505169187945171e-07
18746.455,4.867946836739634e-07,-2.9966343436108276e-06
18747.454,-3.4970069970885476e-06,-0.271635111511162
18748.455,-0.5443573483348558,-0.05733914721137978
18748.488,-0.5457203026267359,-0.023365851019840317
18749.491,-0.022381391292124686,0.2698583955549389
18750.487,-0.002758864105431247,0.010153766437202477
18751.489,-0.0022090818363265097,0.0003937543394308086
18752.491,-0.0019697804092115856,0.000221481296653786
18753.491,-0.001765606979725387,0.00024933513684423207
18754.489,-0.0014717892719795511,0.00021557775668134047
18755.764,-0.0013253304474916128,2.26538071926263e-05
18756.765,-0.0013751248751245893,1.83452857704543e-05
18757.766,-0.0012886031853791557,8.049038173554824e-05
18758.768,-0.001213914536192684,7.42135917186597e-05
18759.765,-0.0011402469638834845,6.317829950676639e-05
18760.767,-0.0010877284934631692,5.28313825361225e-05
18761.754,-0.0010351777823973674,5.7708042336995086e-05
18762.753,-0.0009730125057523242,5.4152333994372814e-05
18763.753,-0.0009269434251661934,4.754753564871142e-05
18764.752,-0.0008779679374222304,4.5309167384669706e-05
18765.752,-0.0008363778339730565,3.920170326828079e-05
18766.756,-0.0007994268694884177,4.0603738669231526e-05
18767.761,-0.0007547973192234547,3.618330170486369e-05
18768.763,-0.0007267577113505563,2.8457272550467183e-05
18769.763,-0.0006978277522144971,3.472800865779511e-05
18770.762,-0.0006573480123446274,3.334212061009809e-05
18771.762,-0.0006311912165792855,2.574378960800794e-05
18772.763,-0.0006058355157643192,2.7394402148461425e-05
18773.773,-0.000576063754268441,2.7265415356242514e-05
18774.771,-0.0005510337992133962,2.3306172440282712e-05
18775.775,-0.0005294261483470564,2.2098651632857446e-05
18776.773,-0.0005067992029963442,2.4345783379785708e-05
18777.774,-0.00048074887131854815,1.838277239396056e-05
18778.774,-0.00046999999999997044,1.0748871318577713e-05
