time_s,dv_dt,d2v_dt2
33489.264,-1.1999999999900979e-05,7.499999999938112e-06
33490.264,-4.499999999962867e-06,1.048801256953169e-08
33491.264,-1.1979023974761915e-05,5.261298100552724e-07
33492.265,-3.4311959373756196e-06,-0.7401071307249173
33493.263,-1.4750520937112697,-0.06406553648268698
33493.294,-1.4756766067959792,0.024519198291510436
33494.294,-0.01035800000000009,0.7365429072489368
33495.294,-0.0025907922981056597,0.004082199192114551
33496.272,-0.0021230531676719178,0.0003725025164421226
33497.272,-0.0018586880266129313,0.00022404231824868016
33498.273,-0.0016748251748242016,0.00016215969635625905
33499.274,-0.0015340443145073213,0.00013227662365083016
33500.272,-0.001410354097765243,0.00011226819881022035
33501.273,-0.0013096903096896373,9.32340598281009e-05
33502.274,-0.00122369950998924,7.229766256968621e-05
33503.276,-0.0011649053196209902,6.17708739255045e-05
33504.274,-0.0011001824650302972,6.351581820635433e-05
33505.274,-0.0010380060671684177,5.830319495614097e-05
33506.277,-0.000983424439609193,5.445391946730388e-05
33507.277,-0.0009289350794383644,4.449813526143342e-05
33508.267,-0.0008946743250632938,3.976425709501354e-05
33509.268,-0.0008496503496504548,4.30011034125367e-05
33510.269,-0.0008085861160314067,3.926730916458559e-05
33511.269,-0.0007710729539636141,3.552876718587988e-05
33512.266,-0.0007376232794513715,2.706564610011964e-05
33513.266,-0.0007170618253156125,3.2285647471606556e-05
33514.26,-0.000673385966642126,3.966645739690832e-05
33515.261,-0.0006379872759871841,2.5012314074692615e-05
33516.26,-0.0006233199758025609,2.1774078885175422e-05
33517.26,-0.0005944467010030596,2.7175597813619676e-05
33518.262,-0.0005689212264783361,2.4319402616008155e-05
33519.262,-0.0005457546410856384,2.346712518574404e-05
33520.261,-0.0005220110440111725,1.9774128066351703e-05
33521.262,-0.0005062223738874216,2.1527019520040883e-05
33522.26,-0.0004790130049889818,2.2143581416744957e-05
33523.26,-0.0004620000000001845,1.701300498879732e-05
