time_s,dv_dt,d2v_dt2
33479.453,2.0060180544514343e-06,7.995995959552969e-06
33480.45,9.978026026091769e-06,2.2607452294604787e-06
33481.451,6.477012976846552e-06,-5.996007256801437e-06
33482.45,-2.0040045045632837e-06,-0.5821882235256044
33483.45,-1.164952724047481,-0.062151970341240315
33483.478,-1.165828384997272,0.0006669246255791171
33484.482,-0.015281462294827186,0.5759257722450303
33485.474,-0.0026814067752984894,0.006640493894862763
33486.472,-0.0021398335057816187,0.00039890880026315155
33487.471,-0.0018850735447843991,0.0002343077823601375
33488.471,-0.0016714936839599126,0.00018019785640679552
33489.473,-0.0015244510978036363,0.00013445046706738947
33490.475,-0.0014020549479567546,0.00010931791060980083
33491.471,-0.0013058803662782115,9.200260509023626e-05
33492.47,-0.0012185371413095947,8.026855079564129e-05
33493.472,-0.0011453060332882181,6.894163584027539e-05
33494.472,-0.001080499429688242,6.193941582738132e-05
33495.469,-0.0010215958425592309,5.23192943579151e-05
33496.47,-0.0009760196803534349,4.767107913858007e-05
33497.458,-0.0009268333564149689,4.902011313785324e-05
33498.458,-0.0008785861335047773,4.4615182597427974e-05
33499.459,-0.0008375656437500378,3.9521848894580704e-05
33500.459,-0.000799500000000064,3.978282187511173e-05
33501.459,-0.0007579999999998144,3.9420988930505274e-05
33502.459,-0.0007206580221390535,2.9611074932065352e-05
33503.46,-0.0006987637085975607,2.6262179288625166e-05
33504.464,-0.0006679759747680869,3.122924770340761e-05
33505.461,-0.0006362818548468763,2.582936530893073e-05
33506.46,-0.0006164444260159385,2.7912534435521066e-05
33507.463,-0.0005803363899072878,2.8774509089775835e-05
33508.462,-0.000558780169865436,-0.0006859925042715898
33509.462,-0.0019530512548318057,-0.00022832922859414902
33509.692,-0.0019438886532053834,0.0003034554790615439
33510.692,-0.0004942676059582762,0.0007351809151393627
33511.693,-0.00047422123671347904,1.2649091057734805e-05
33512.691,-0.0004689378757518297,5.293948859370218e-06
