time_s,dv_dt,d2v_dt2
29806.685,-5.999999999950489e-06,1.001497253350081e-06
29807.685,-4.998502746600408e-06,2.7471296800771897e-06
29808.686,-4.995004996288799e-07,2.992755102788963e-06
29809.687,9.929929691843142e-07,-0.6604308095826931
29810.684,-1.314268355001147,-0.06754054035805268
29810.712,-1.3151760038241724,0.003742026072220192
29811.714,-0.014896767844000625,0.6517683125034577
29812.706,-0.0026961402059884065,0.00644391766132331
29813.706,-0.002154543245360463,0.00039239576952368514
29814.707,-0.0019112548227548931,0.0002280128877766407
29815.706,-0.001698457399919251,0.0001853916332518427
29816.704,-0.0015409725211970038,0.0001403687216235042
29817.705,-0.001417965073141847,0.00010729652563062095
29818.697,-0.0013268512223034712,8.955784152066477e-05
29819.695,-0.0012397725412309768,7.972809336868891e-05
29820.696,-0.0011675199820855298,7.356612367886246e-05
29821.694,-0.0010927221620071759,7.153022511869678e-05
29822.697,-0.0010244222621353938,5.475193341200244e-05
29823.698,-0.0009829459659460582,4.5975341536453706e-05
29824.697,-0.0009324897228395468,4.5928226948645896e-05
29825.697,-0.0008911446019046476,3.999914707869659e-05
29826.699,-0.000852416819667301,3.714302825739524e-05
29827.697,-0.0008168465098368216,4.006134799135067e-05
29828.697,-0.000772356549646247,4.2986220760977544e-05
29829.696,-0.0007309140485605159,3.480616876702094e-05
29830.686,-0.0007030074207197146,2.8180694102596462e-05
29831.688,-0.0006747782946983083,2.906616789592802e-05
29832.685,-0.000644913062679997,2.9125380980636432e-05
29833.687,-0.000616564976086531,2.6820226160803237e-05
29834.688,-0.0005911892085934678,2.39922964930233e-05
29835.688,-0.0005685536759196808,2.1314682727382095e-05
29836.686,-0.0005485971943877122,2.3675825655680293e-05
29837.684,-0.0005212967279109026,2.4453003514098536e-05
29838.683,-0.0004997703536246956,2.0507805608173174e-05
29839.685,-0.0004802668589589665,1.6091434446529782e-05
29840.686,-0.0004675324675325072,1.2721669756699964e-05
