time_s,dv_dt,d2v_dt2
33510.285,4.008016031736038e-06,-1.3017025041038603e-05
33511.283,-8.982974959215184e-06,-6.02403204792427e-06
33512.283,-8.000000000008e-06,3.737358162614335e-06
33513.283,-1.5082586339865145e-06,-0.674031511101643
33514.282,-1.3460495887167383,-0.06466180321995552
33514.318,-1.3467133267058782,0.0284341567298449
33515.321,-0.008389065405497886,0.6633766573539539
33516.304,-0.0026770747165749675,0.0032132981717815437
33517.303,-0.0021041041040967823,0.000403508198900886
33518.302,-0.0018708653351682258,0.00021219117624044447
33519.304,-0.0016796374385508184,0.0001774822559014749
33520.302,-0.0015157941251755513,0.0001481648979918482
33521.304,-0.001383435953257628,0.00011475779783035598
33522.312,-0.0012853396086278668,8.553997438894142e-05
33523.314,-0.001211359691438485,7.357689954434396e-05
33524.312,-0.0011381837707915565,7.050299816414364e-05
33525.313,-0.0010704411409407921,6.0053639970246734e-05
33526.312,-0.0010180460360460497,4.830603597616928e-05
33527.313,-0.0009738456516370508,4.836545884369115e-05
33528.294,-0.0009223523838339798,4.9907307710867984e-05
33529.294,-0.0008750783903770376,4.4767710097759754e-05
33530.295,-0.0008327772110015008,3.9503512786808e-05
33531.297,-0.0007959583678331938,3.833593087891921e-05
33532.295,-0.0007561180484725316,3.783414757396812e-05
33533.297,-0.0007203067942251895,2.944215545533645e-05
33534.287,-0.0006973190369907734,2.759497267781902e-05
33535.285,-0.0006653777054581589,3.194254495949894e-05
33536.286,-0.0006334662669664759,2.98198151394517e-05
33537.285,-0.0006057298444348547,2.7299721425145043e-05
33538.287,-0.0005788423153709754,2.1526861786590667e-05
33539.289,-0.0005625900134147432,1.5369211720312175e-05
33540.276,-0.0005482476247582468,1.948266107519971e-05
33541.276,-0.0005237483825510925,2.325562981433661e-05
33542.277,-0.0005017155979680776,2.5223074636475872e-05
33543.275,-0.0004733467012758563,2.2560861607942573e-05
33544.278,-0.0004566301096724343,1.6666591827988502e-05
