time_s,dv_dt,d2v_dt2
4000.799,4.004004004119958e-06,1.9989974967412958e-06
4001.798,6.001002503364106e-06,-2.3487194017141399e-07
4002.798,3.530025020737071e-06,-4.4602570344294e-06
4003.809,-3.012579245842417e-06,-0.3975669654165309
4004.807,-0.788438387351988,-0.08635392722718649
4004.83,-0.7900515447903942,-0.051867436784507705
4005.831,-0.046040366324527904,0.38528534880324966
4006.833,-0.01904131388568553,0.01608280570145218
4007.832,-0.013793595543519332,0.004183390055215007
4008.832,-0.010680857398480459,0.002731799466089986
4009.83,-0.008333937979310369,0.001961252913556989
4010.829,-0.006765016460760664,0.001334551324308935
4011.827,-0.0056683673394692935,0.0009400870902997304
4012.829,-0.004886114903204231,0.0006760746310296487
4013.828,-0.004314915243908812,0.0004949838103762943
4014.828,-0.003896795918367335,0.00038299586824030465
4015.808,-0.0035551925358838776,0.0003280659766192243
4016.809,-0.0032477678216367156,0.00026944443195906615
4017.807,-0.003016347416129328,0.00021346341004451277
4018.808,-0.002821165155659777,0.00017579697530326803
4019.806,-0.002664814293250828,0.00014383034642730737
4020.806,-0.002533843510313716,0.000126058943944473
4021.802,-0.002413161425015131,0.00011234706269506794
4022.805,-0.0023093856415412617,9.731910733195236e-05
4023.801,-0.002218534781805781,9.063841630645728e-05
4024.803,-0.0021282970343032837,7.791521508982943e-05
4025.803,-0.002062500000000078,6.327350095791662e-05
4026.803,-0.0020017500323874504,6.380429028127427e-05
4027.795,-0.0019354505274458145,6.013499167679308e-05
4028.794,-0.001882115383480043,4.95701864458738e-05
4029.796,-0.0018362835288434631,5.009025332602219e-05
4030.793,-0.0017820283573457552,4.997507855519507e-05
4031.795,-0.0017364278917118003,4.438786100777225e-05
4032.793,-0.001693243680553902,3.785102797127784e-05
4033.793,-0.0016608232384462962,1.979228775356146e-05
4034.792,-0.0016536536536539777,7.176761553873867e-06
