file,cycle,step,step_name,t_pre,t_post,t_fast,t_end,V_pre,V_post,V_fast,V_end,I_step,R0,R1,R2,C1,C2,duration_pre_post,duration_post_fast,duration_fast_end
RD_LFP_HPPC_REPT_Group0_150_0046_10_100,1,4,CC_DChg,4029.309,4029.374,4035.372,4059.365,3.502681,3.460964,3.364433,3.300197,-74.997298,-0.000556246706381339,-0.0012871263708727231,-0.0008565108572311523,-4659.9930944878115,-28012.487871504924,0.06499999999959982,5.998000000000047,23.992999999999938
RD_LFP_HPPC_REPT_Group0_150_0046_10_100,1,9,CC_DChg,7717.437,7717.468,7720.8,7747.749,3.396648,3.355444,3.324341,3.272637,-74.997571,-0.0005494044600457797,-0.00041472009806824123,-0.0006894089943259626,-8034.334519886378,-39090.00349835549,0.03099999999994907,3.3320000000003347,26.948999999999614
RD_LFP_HPPC_REPT_Group0_150_0046_10_100,1,14,CC_DChg,11397.894,11397.933,11400.923,11428.448,3.35933,3.316488,3.294467,3.256577,-74.9977074,-0.0005712441284571831,-0.00029362230878006906,-0.0005052154434256744,-10183.149953498158,-54481.70747387104,0.03900000000066939,2.9899999999997817,27.524999999999636
RD_LFP_HPPC_REPT_Group0_150_0046_10_100,1,19,CC_DChg,15078.311,15078.359,15081.361,15108.326,3.339421,3.302673,3.276846,3.247301,-74.9978716,-0.0004899872385178491,-0.0003443697727549917,-0.00039394451295334773,-8717.373699741749,-68448.72593311539,0.04800000000068394,3.0020000000004075,26.964999999998327
RD_LFP_HPPC_REPT_Group0_150_0046_10_100,1,24,CC_DChg,18758.738,18758.778,18761.78,18788.763,3.331608,3.290809,3.270122,3.244024,-74.9979598,-0.0005440014649571875,-0.00027583417009164663,-0.00034798279939343333,-10883.350670451688,-77541.1889525404,0.039999999997235136,3.0020000000004075,26.983000000000175
RD_LFP_HPPC_REPT_Group0_150_0046_10_100,1,29,CC_DChg,22439.497,22439.527,22441.53,22469.499,3.329609,3.284901,3.271895,3.244802,-74.99786559999998,-0.0005961236315503889,-0.000173418268586031,-0.0003612502807013252,-11550.109549196333,-77422.77721058766,0.029999999998835847,2.003000000000611,27.96900000000096
RD_LFP_HPPC_REPT_Group0_150_0046_10_100,1,34,CC_DChg,26120.038,26120.079,26123.08,26150.009,3.32889,3.289261,3.268322,3.243386,-74.9980912,-0.000528400114801851,-0.00027919377233430524,-0.00033248846205301616,-10748.807091609555,-80992.28416444283,0.04100000000107684,3.0010000000002037,26.92899999999645
RD_LFP_HPPC_REPT_Group0_150_0046_10_100,1,39,CC_DChg,29801.329,29801.361,29803.589,29831.596,3.328489,3.284076,3.269639,3.242471,-74.9980188,-0.0005921889765973337,-0.00019249841837155348,-0.0003622495691846207,-11574.121069913163,-77314.10160967684,0.0319999999992433,2.227999999999156,28.007000000001426
RD_LFP_HPPC_REPT_Group0_150_0046_10_100,1,44,CC_DChg,33524.874,33524.901,33527.903,33554.869,3.327796,3.289705,3.267191,3.242711,-74.9979554,-0.0005078938458634313,-0.00030019485037854974,-0.0003264088983417814,-10000.171542632545,-82614.16933482114,0.026999999994586688,3.0020000000004075,26.96600000000035
