file,cycle,step,step_name,t_pre,t_post,t_fast,t_end,V_pre,V_post,V_fast,V_end,I_step,R0,R1,R2,duration_pre_post,duration_post_fast,duration_fast_end
RD_LFP_HPPC_REPT_Group0_150_0011_10_100,1,4,CC_DChg,4004.807,4004.83,4010.829,4034.792,3.514661,3.496109,3.359726,3.293683,-74.996849,-0.00024737039285476755,-0.0018185164019357658,-0.0008806103307086952,0.023000000000138243,5.999000000000251,23.962999999999738
RD_LFP_HPPC_REPT_Group0_150_0011_10_100,1,9,CC_DChg,7692.068,7692.096,7695.053,7722.008,3.400575,3.357578,3.3219,3.267488,-74.99775600000001,-0.0005733104867830942,-0.0004757209002360059,-0.0007255150407433481,0.027999999999337888,2.9570000000003347,26.954999999999927
RD_LFP_HPPC_REPT_Group0_150_0011_10_100,1,14,CC_DChg,11372.466,11372.494,11375.475,11402.451,3.359838,3.319441,3.289372,3.249887,-74.99792479999999,-0.0005386415705198288,-0.0004009310934960654,-0.0005264812340514254,0.028000000000247383,2.980999999999767,26.97599999999875
RD_LFP_HPPC_REPT_Group0_150_0011_10_100,1,19,CC_DChg,15052.769,15052.81,15055.811,15082.744,3.338289,3.323024,3.270281,3.239996,-74.9978602,-0.000203539140440701,-0.0007032600644784793,-0.00040381152101190366,0.04099999999925785,3.0010000000002037,26.933000000000902
RD_LFP_HPPC_REPT_Group0_150_0011_10_100,1,24,CC_DChg,18733.193,18733.231,18736.231,18763.162,3.330495,3.285479,3.263658,3.23687,-74.9976658,-0.0006002320141542318,-0.000290955721984618,-0.00035718444986590253,0.03800000000046566,3.0,26.931000000000495
RD_LFP_HPPC_REPT_Group0_150_0011_10_100,1,29,CC_DChg,22413.295,22413.336,22416.302,22443.872,3.328493,3.29515,3.263129,3.237444,-74.9979268,-0.00044458562286550966,-0.0004269584689373021,-0.000342476133620272,0.04100000000107684,2.9660000000003492,27.56999999999971
RD_LFP_HPPC_REPT_Group0_150_0011_10_100,1,34,CC_DChg,26094.04,26094.07,26097.071,26124.01,3.327916,3.287328,3.261882,3.236181,-74.9978452,-0.0005411888820507081,-0.00033928974802065485,-0.00034268984570772377,0.029999999998835847,3.0010000000002037,26.938999999998487
RD_LFP_HPPC_REPT_Group0_150_0011_10_100,1,39,CC_DChg,29774.371,29774.398,29777.395,29804.335,3.327707,3.321443,3.260791,3.23488,-74.9979792,-8.3522250423519e-05,-0.000808715123353613,-0.0003454893088639412,0.027000000001862645,2.996999999999389,26.93999999999869
RD_LFP_HPPC_REPT_Group0_150_0011_10_100,1,44,CC_DChg,33478.188,33478.216,33480.247,33508.201,3.327133,3.282201,3.263128,3.235374,-74.9980108,-0.0005991092233075567,-0.00025431341173651656,-0.0003700631483948616,0.027999999998428393,2.0310000000026776,27.953999999997905
