file,cycle,step,step_name,t_pre,t_post,t_fast,t_end,V_pre,V_post,V_fast,V_end,I_step,R0,R1,R2,C1,C2,duration_pre_post,duration_post_fast,duration_fast_end
RD_LFP_HPPC_REPT_Group0_150_0091_10_100,1,4,CC_DChg,4071.64,4071.67,4074.671,4101.632,3.464833,3.41538,3.341393,3.262885,-74.99724539999998,-0.0006593975516866144,-0.0009865295665912527,-0.001046811780636416,-3041.9767451766083,-25755.346375265923,0.03000000000020009,3.000999999999749,26.960999999999785
RD_LFP_HPPC_REPT_Group0_150_0091_10_100,1,9,CC_DChg,7752.599,7752.629,7755.627,7782.593,3.38624,3.340771,3.292839,3.241292,-74.99763340000001,-0.0006062724640588426,-0.0006391135003468029,-0.0006873150213297234,-4690.872588943425,-39233.82897674679,0.02999999999974534,2.998000000000502,26.96599999999944
RD_LFP_HPPC_REPT_Group0_150_0091_10_100,1,14,CC_DChg,11432.929,11432.961,11435.962,11462.924,3.351347,3.315067,3.262892,3.225472,-74.997803,-0.0004837475039102157,-0.0006956870456591919,-0.0004989479491819248,-4313.721261198179,-54037.70081470072,0.0319999999992433,3.0010000000002037,26.962000000001353
RD_LFP_HPPC_REPT_Group0_150_0091_10_100,1,19,CC_DChg,15112.793,15112.824,15115.783,15142.765,3.335867,3.285834,3.247985,3.217382,-74.99776059999999,-0.0006671265861770278,-0.0005046684020589279,-0.0004080521838941377,-5863.25592790613,-66123.89558243364,0.031000000000858563,2.958999999998923,26.98199999999997
RD_LFP_HPPC_REPT_Group0_150_0091_10_100,1,24,CC_DChg,18793.475,18793.51,18796.55,18823.775,3.330851,3.27944,3.243714,3.215311,-74.99775500000001,-0.0006855005193155431,-0.00047636092573704263,-0.0003787180029588938,-6381.715702851313,-71887.26120040614,0.03499999999985448,3.040000000000873,27.225000000002183
RD_LFP_HPPC_REPT_Group0_150_0091_10_100,1,29,CC_DChg,22473.737,22473.772,22476.772,22503.708,3.329044,3.280651,3.244678,3.217362,-74.997862,-0.0006452583941659552,-0.0004796536733273844,-0.0003642237161374,-6254.512717871693,-73954.54718230518,0.03499999999985448,3.0,26.935999999997875
RD_LFP_HPPC_REPT_Group0_150_0091_10_100,1,34,CC_DChg,26154.217,26154.248,26157.251,26184.223,3.328118,3.293659,3.242213,3.214879,-74.9978934,-0.0004594662388210496,-0.0006859659340778215,-0.0003644635703861009,-4377.7684150419145,-74004.6528420613,0.030999999999039574,3.003000000000611,26.97200000000157
RD_LFP_HPPC_REPT_Group0_150_0091_10_100,1,39,CC_DChg,29834.987,29835.019,29838.021,29864.965,3.327662,3.301795,3.240594,3.213199,-74.9978232,-0.00034490334380798813,-0.0008160370179917384,-0.0003652772684741106,-3678.754681237757,-73763.14467241256,0.0319999999992433,3.0020000000004075,26.943999999999505
RD_LFP_HPPC_REPT_Group0_150_0091_10_100,1,44,CC_DChg,33518.331,33518.363,33521.32,33548.324,3.32746,3.278119,3.241469,3.214273,-74.9978516,-0.0006578988457317367,-0.0004886806650872096,-0.0003626237208106905,-6050.986280528306,-74468.37713658116,0.0319999999992433,2.9570000000021537,27.004000000000815
