file,cycle,step,step_name,t_pre,t_post,t_fast,t_end,V_pre,V_post,V_fast,V_end,I_step,R0,R1,R2,C1,C2,duration_pre_post,duration_post_fast,duration_fast_end,cell,pulse_no,soc_pct,cell_id,rmse_V
RD_LFP_HPPC_REPT_Group0_150_0003_10_100,1,19,CC_DChg,15068.314,15068.341,15071.345,15098.314,3.337335,3.295841,3.27052,3.241203,-74.9979276,-0.0005532686212518,-0.0003376226625227,-0.0003909041347963,-8897.506990653028,-68991.33981800609,0.0270000000000436,3.003999999998996,26.96900000000096,RD_LFP_HPPC_REPT_Group0_150_0003_10_100,4,40,Group0_150_0003_10_100,0.006894088095302905
RD_LFP_HPPC_REPT_Group0_150_0003_10_100,1,24,CC_DChg,18748.455,18748.488,18751.489,18778.774,3.330732,3.312176,3.264838,3.238461,-74.99792,-0.00024742019512,-0.0006311908383592,-0.0003517030872322,-4754.50500485901,-77579.64314364718,0.032999999999447,3.001000000000204,27.28499999999985,RD_LFP_HPPC_REPT_Group0_150_0003_10_100,5,50,Group0_150_0003_10_100,0.009241057437321397
RD_LFP_HPPC_REPT_Group0_150_0003_10_100,1,29,CC_DChg,22428.872,22428.903,22431.905,22458.879,3.329071,3.294903,3.2642,3.238729,-74.9979294,-0.0004555859111491,-0.0004093846356243,-0.0003396227096371,-7332.957172225226,-79423.4285122589,0.0309999999990395,3.0020000000004075,26.97400000000198,RD_LFP_HPPC_REPT_Group0_150_0003_10_100,6,60,Group0_150_0003_10_100,0.0069256144217257004
RD_LFP_HPPC_REPT_Group0_150_0003_10_100,1,34,CC_DChg,26109.65,26109.677,26111.679,26139.635,3.328598,3.2841,3.265486,3.23772,-74.99787699999999,-0.0005933234616761,-0.0002481936922027,-0.0003702238131354,-8066.280743205721,-75511.0800767795,0.0269999999982246,2.0020000000004075,27.955999999998312,RD_LFP_HPPC_REPT_Group0_150_0003_10_100,7,70,Group0_150_0003_10_100,0.006810849120374041
RD_LFP_HPPC_REPT_Group0_150_0003_10_100,1,39,CC_DChg,29790.027,29790.05,29793.069,29820.03,3.32836,3.313104,3.262249,3.236568,-74.998149,-0.0002034183536983,-0.000678083401765,-0.0003424217843029,-4452.254681565589,-78736.22893146469,0.0230000000010477,3.019000000000233,26.96099999999933,RD_LFP_HPPC_REPT_Group0_150_0003_10_100,8,80,Group0_150_0003_10_100,0.009764336770084245
RD_LFP_HPPC_REPT_Group0_150_0003_10_100,1,44,CC_DChg,33498.001,33498.024,33501.027,33527.244,3.327713,3.311418,3.262089,3.236839,-74.99799900000001,-0.0002172724634959,-0.0006577375484377,-0.0003366756491729,-4565.650854412575,-77870.19959535652,0.0230000000010477,3.003000000004249,26.216999999996915,RD_LFP_HPPC_REPT_Group0_150_0003_10_100,9,90,Group0_150_0003_10_100,0.009376884516645631
RD_LFP_HPPC_REPT_Group0_150_0004_10_100,1,4,CC_DChg,4006.58,4006.611,4010.61,4036.575,3.513517,3.469326,3.376554,3.294567,-74.99728619999999,-0.0005892346542,-0.0012370047597802,-0.0010931995563327,-3232.808902619525,-23751.38175787589,0.030999999999949,3.999000000000251,25.96499999999969,RD_LFP_HPPC_REPT_Group0_150_0004_10_100,1,10,Group0_150_0004_10_100,0.02048186660224925
RD_LFP_HPPC_REPT_Group0_150_0004_10_100,1,9,CC_DChg,7694.06,7694.097,7697.098,7724.046,3.400677,3.354683,3.321811,3.267936,-74.99766380000001,-0.0006132724363608,-0.0004383069863037,-0.0007183557096347,-6846.799375268122,-37513.44861405915,0.0369999999993524,3.001000000000204,26.94800000000032,RD_LFP_HPPC_REPT_Group0_150_0004_10_100,2,20,Group0_150_0004_10_100,0.010839271773891983
RD_LFP_HPPC_REPT_Group0_150_0004_10_100,1,14,CC_DChg,11374.367,11374.407,11377.408,11404.485,3.360355,3.315021,3.289714,3.250622,-74.997804,-0.0006044710322451,-0.0003374365468087,-0.0005212419286303,-8893.523918442075,-51947.08735567581,0.0399999999990541,3.001000000000204,27.07700000000113,RD_LFP_HPPC_REPT_Group0_150_0004_10_100,3,30,Group0_150_0004_10_100,0.008130751127454431
RD_LFP_HPPC_REPT_Group0_150_0004_10_100,1,19,CC_DChg,15054.791,15054.823,15057.829,15084.794,3.338934,3.299883,3.271014,3.241127,-74.9979312,-0.0005206943628333,-0.0003849306179261,-0.0003985043256766,-7809.199528461558,-67665.5139294011,0.0320000000010622,3.005999999999404,26.965000000000146,RD_LFP_HPPC_REPT_Group0_150_0004_10_100,4,40,Group0_150_0004_10_100,0.007245789400884308
